,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
63,Artisan Egg Sandwich with Applewood Smoked Bacon,360,162,18,8.0,0.0,255,780,30,1,4,19
64,Artisan Sandwich with Egg & Cheese,290,117,13,6.0,0.0,235,530,29,1,4,15
65,Fresh-Baked Biscuit with All-Natural Sausage,570,333,37,18.0,0.0,270,1390,38,2,5,21
66,Fresh-Baked Biscuit with Applewood Smoked Bacon,410,189,21,12.0,0.0,240,1220,36,2,4,17
67,Fresh-Baked Biscuit with Egg & Cheese,360,162,18,11.0,0.0,230,1060,36,2,4,14
68,Honey Butter Chicken Biscuit,510,225,25,11.0,0.0,55,1400,52,2,9,21
69,Mornin' Melt Panini with All-Natural Sausage,650,423,47,22.0,1.0,310,900,34,1,3,32
70,Mornin' Melt Panini with Egg & Cheese,450,243,27,15.0,1.0,270,560,33,1,3,25
71,Mornin' Melt® Panini with Applewood Smoked Bacon,520,288,32,17.0,1.0,285,810,33,1,3,30
72,"Orange Juice, Small",130,0,0,0.0,0.0,0,0,31,1,23,2
73,Sausage & Egg Burrito,270,180,20,7.0,0.0,210,640,12,1,1,12
74,Sausage Biscuit,460,261,29,14.0,0.0,50,1110,37,2,4,13
75,Sausage Gravy & Biscuit,460,216,24,12.0,0.0,20,1530,51,2,5,9
76,Seasoned Homestyle Potatoes,230,81,9,2.0,0.0,0,700,34,3,0,2
77,Steel-Cut Oatmeal with Apples and Caramel,200,18,2,0.0,0.0,0,200,47,3,26,4
78,Steel-Cut Oatmeal with Cranberries and Pecans,330,108,12,1.0,0.0,0,250,57,4,33,5
79,Steel-Cut Oatmeal with Summer Berries,180,18,2,0.0,0.0,0,190,40,3,20,4
80,"Steel-Cut Oatmeal, Plain",150,27,3,0.0,0.0,0,230,33,3,10,5
81,"Caramel Iced Coffee, Small",80,45,5,3.0,0.0,20,45,9,0,8,1
82,"English Breakfast Premium Hot Tea, Small",0,0,0,0.0,0.0,0,0,0,0,0,0
83,"Lemongrass Green Premium Hot Tea, Small",0,0,0,0.0,0.0,0,0,0,0,0,0
84,"Mocha Iced Coffee, Small",100,45,5,3.0,0.0,20,45,12,0,11,1
85,"Original Redhead Hot Coffee, Decaffeinated, Small",10,0,0,0.0,0.0,0,0,2,0,0,0
86,"Original Redhead Hot Coffee, Small",10,0,0,0.0,0.0,0,0,3,0,0,0
87,"Redhead Roasters®Hot Coffee, Regular",0,0,0,0.0,0.0,0,0,0,0,0,0
88,"Skinny Vanilla Iced Coffee, Small",60,45,5,3.0,0.0,20,45,7,0,2,1
89,"Vanilla Iced Coffee, Small",90,45,5,3.0,0.0,20,45,11,0,10,1
