,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
50,Vanilla Milk Shake,660,150,17,13.0,0.0,40,380,114,0.0,104,12.0
51,Vault,210,0,0,0.0,0.0,0,20,56,0.0,56,0.0
52,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450,50,13.0,0.0,120,1960,32,5.0,7,36.0
53,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,360,40,12.0,0.0,150,1540,18,3.0,6,42.0
54,Chicken BLT Salad w/ Crispy Chicken,690,430,48,12.0,1.0,100,1750,31,4.0,8,35.0
55,Chicken BLT Salad w/ Grilled Chicken,550,330,37,10.0,0.0,115,1640,17,3.0,5,36.0
56,Chicken Caesar Salad w/ Crispy Chicken,670,380,43,7.0,0.0,80,1760,40,5.0,8,34.0
57,Chicken Caesar Salad w/ Grilled Chicken,530,290,32,5.0,0.0,95,1640,26,3.0,6,35.0
58,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,370,41,9.0,0.0,80,1090,54,5.0,37,28.0
59,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,270,30,7.0,0.0,90,980,40,4.0,34,29.0
60,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220,24,7.0,0.0,85,1070,30,5.0,6,29.0
61,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120,14,6.0,0.0,115,650,16,2.0,4,36.0
62,Side Caesar Salad with dressing,220,180,20,4.0,0.0,10,540,7,2.0,3,6.0
63,Side Garden Salad and Avocado Ranch Dressing,230,190,21,5.0,0.0,30,520,7,2.0,3,5.0
64,"Bacon, Egg & Cheese Biscuit",470,250,28,17.0,1.0,185,1420,33,1.0,4,17.0
65,"BK Breakfast Muffin Sandwich w/ Bacon, Egg, and Cheese",250,100,11,5.0,0.0,165,760,22,1.0,2,14.0
66,BK Breakfast Muffin Sandwich w/ Egg and Cheese,220,80,9,4.0,0.0,160,650,22,1.0,2,12.0
67,"BK Breakfast Muffin Sandwich w/ Ham, Egg, and Cheese",250,80,9,4.0,0.0,175,1090,23,1.0,3,18.0
68,BK Breakfast Muffin Sandwich w/ Sausage and Cheese,330,180,20,7.0,0.0,45,750,23,1.0,1,14.0
69,"BK Breakfast Muffin Sandwich w/ Sausage, Egg, and Cheese",390,210,23,9.0,0.0,195,960,23,1.0,2,20.0
70,Bk Ultimate Breakfast Platter,1450,750,84,30.0,1.0,505,2920,134,5.0,41,40.0
71,Cinnabon Roll,300,100,11,5.0,0.0,5,280,45,2.0,20,6.0
72,Country Ham and Egg Biscuit,420,210,23,15.0,0.5,185,1990,32,1.0,3,18.0
73,"CROISSAN'WICH Bacon, Egg & Cheese",380,190,22,8.0,0.0,190,890,26,0.0,5,15.0
74,CROISSAN'WICH Egg & Cheese,320,140,16,7.0,0.0,180,680,26,0.0,5,11.0
75,"CROISSAN'WICH Ham, Egg & Cheese",350,150,17,7.0,0.0,200,1110,27,0.0,5,18.0
76,CROISSAN'WICH Sausage & Cheese,380,220,24,10.0,0.0,50,780,26,0.0,3,14.0
77,"CROISSAN'WICH Sausage, Egg & Cheese",490,280,31,11.0,1.0,215,990,27,0.0,5,18.0
78,"DOUBLE CROISSAN'WICH w/ Bacon, Egg, & Cheese",490,280,31,13.0,1.0,215,1330,27,0.0,5,22.0
79,"DOUBLE CROISSAN'WICH w/ Ham, Bacon, Egg, & Cheese",470,240,26,11.0,1.0,220,1540,27,0.0,6,24.0
80,"DOUBLE CROISSAN'WICH w/ Ham, Egg, & Cheese",390,170,19,9.0,0.0,185,1670,27,1.0,6,26.0
81,"DOUBLE CROISSAN'WICH w/ Ham, Sausage, Egg, & Cheese",570,320,35,14.0,1.0,240,1630,28,0.0,6,28.0
82,"DOUBLE CROISSAN'WICH w/ Sausage, Bacon, Egg, & Cheese",570,340,37,15.0,1.0,235,1350,28,0.0,5,24.0
83,"DOUBLE CROISSAN'WICH w/ Sausage, Egg, & Cheese",700,440,49,18.0,1.0,255,1510,29,0.0,5,29.0
84,Egg-normous Burrito,910,490,55,16.0,0.5,320,2020,73,6.0,8,33.0
85,French Toast Sticks 3 Piece,230,100,11,2.0,0.0,0,260,29,1.0,8,3.0
86,French Toast Sticks 5 Piece,380,160,18,3.0,0.0,0,430,49,2.0,13,5.0
87,Fully Loaded CROISSAN'WICH®,570,330,37,15.0,0.5,195,1650,32,1.0,5,27.0
88,"Ham, Egg, & Cheese Biscuit",420,200,22,15.0,1.0,185,1410,33,1.0,5,16.0
89,Hash Browns Large,670,390,44,9.0,0.0,0,1080,65,9.0,0,5.0
90,Hash Browns Medium,500,290,33,7.0,0.0,0,810,48,7.0,0,4.0
91,Hash Browns Small,250,150,16,4.0,0.0,0,410,24,3.0,0,2.0
92,Kids Oatmeal,170,35,4,2.0,0.0,5,260,32,3.0,9,4.0
93,King CROISSAN'WICH®,700,460,51,20.0,0.5,210,1410,31,1.0,5,25.0
94,King CROISSAN'WICH® w/ Ham & Sausage,530,310,34,14.0,0.5,185,1280,31,1.0,5,23.0
95,King CROISSAN'WICH® w/ Sausage and Bacon,570,340,38,16.0,0.5,185,1330,31,1.0,5,23.0
96,Otis Spunkmeyer® Cinnamon Roll,280,100,11,6.0,0.0,15,280,41,2.0,22,4.0
97,Pancake Platter w/ Sausage & 1 oz Breakfast Syrup,670,300,34,9.0,0.0,125,1010,78,1.0,36,14.0
98,Pancakes (3) and 1 oz breakfast syrup,500,170,19,5.0,0.0,95,700,77,1.0,36,7.0
99,Quaker Oatmeal Maple and Brown Sugar Flavor,270,40,4,2.0,0.0,5,290,55,5.0,29,5.0
100,Quaker Oatmeal Original,140,30,4,1.0,0.0,5,100,23,3.0,1,5.0
101,Sausage Biscuit,420,240,27,15.0,1.0,35,1090,32,1.0,3,13.0
102,Sausage Breakfast Burrito,290,150,17,7.0,0.0,140,830,21,1.0,2,14.0
103,"Sausage, Egg, & Cheese Biscuit",570,330,37,19.0,1.0,210,1510,34,1.0,4,20.0
104,Southwestern Breakfast Burrito,580,320,35,13.0,0.0,205,1690,42,4.0,3,23.0
105,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,468,52,14.0,0.5,110,2100,57,,9,34.0
106,BBQ Bacon Crispy Chicken Sandwich,440,243,27,4.5,0.0,15,630,44,,13,7.0
107,Big Fish Sandwich,530,250,27,4.5,0.0,30,1360,54,2.0,7,17.0
108,BK VEGGIE Burger,410,150,16,3.0,0.0,5,1030,44,7.0,8,22.0
109,Chicken Burger,480,220,25,2.5,0.0,5,1160,42,2.0,10,22.0
110,Chicken Cordon Bleu Sandwich,730,351,39,9.0,0.0,90,1930,63,,16,32.0
111,Chicken Fries,290,150,17,3.0,1.5,40,780,18,1.0,1,16.0
112,Chicken Nuggets 20 Piece,950,500,55,11.0,0.0,130,1530,50,5.0,0,51.0
113,Chicken Nuggets 4 Piece,190,100,11,2.0,0.0,25,310,10,1.0,0,10.0
114,Chicken Nuggets 6 Piece,290,150,17,3.0,0.0,40,460,15,1.0,0,15.0
115,Chicken Nuggets (10pc),470,260,29,5.0,0.0,50,890,34,5.0,0,21.0
116,Chicken Parmesan Sandwich,570,225,25,8.0,0.0,70,1340,57,,9,32.0
117,Crispy Buffalo Chicken Melt,580,252,28,8.0,0.5,70,2310,56,,8,30.0
118,Crispy Chicken Jr.,430,250,28,4.5,0.0,30,760,34,2.0,4,12.0
119,Crispy Chicken Sandwich,670,370,41,7.0,0.5,60,1070,54,2.0,7,23.0
120,Grilled Chicken Sandwich,470,170,19,3.5,0.0,85,850,39,2.0,6,37.0
121,Grilled Chili Cheese Dog,330,170,19,8.0,1.0,40,980,28,2.0,5,14.0
122,Grilled Hot Dog,310,140,16,6.0,1.0,30,960,32,2.0,10,11.0
